"Usage","ID","NomSize","Grade","fisWidth","fisDepth","fisLength","mmWidth","mmDepth","mmLength","Qty-Stk","Qty-Ord","$Each","File"
"Wl","159","2x4x8ft","ACQ-PT","1in8sx","3in8sx","8ft","38.1","88.9","2438.4","","","",""
"Wl","160","2x4x10ft","ACQ-PT","1in8sx","3in8sx","10ft","38.1","88.9","3048","","","",""
"Wl","161","2x4x12ft","ACQ-PT","1in8sx","3in8sx","12ft","38.1","88.9","3657.6","","","",""
"Wl","162","2x4x14ft","ACQ-PT","1in8sx","3in8sx","14ft","38.1","88.9","4267.2","","","",""
"Wl","163","2x4x16ft","ACQ-PT","1in8sx","3in8sx","16ft","38.1","88.9","4876.8","","","",""
"Wl","164","2x6x8ft","ACQ-PT","1in8sx","5in8sx","8ft","38.1","139.7","2438.4","","","",""
"Wl","165","2x6x10ft","ACQ-PT","1in8sx","5in8sx","10ft","38.1","139.7","3048","","","",""
"Wl","166","2x6x12ft","ACQ-PT","1in8sx","5in8sx","12ft","38.1","139.7","3657.6","","","",""
"Wl","167","2x6x14ft","ACQ-PT","1in8sx","5in8sx","14ft","38.1","139.7","4267.2","","","",""
"Wl","168","2x6x16ft","ACQ-PT","1in8sx","5in8sx","16ft","38.1","139.7","4876.8","","","",""
"Wl","169","2x8x12ft","ACQ-PT","1in8sx","5in8sx","12ft","38.1","139.7","3657.6","","","",""
"Wl","170","2x8x14ft","ACQ-PT","1in8sx","5in8sx","14ft","38.1","139.7","4267.2","","","",""
"Wl","222","1/2x4x9","BlackAsphalt","8sx","4ft","9ft","12.7","1219.2","2743.2","","","",""
"WlBm","214","1/2x4x8","CDX","8sx","4ft","8ft","12.7","1219.2","2438.4","","","",""
"Wl Bm","218","1/2x4x8","Denseglass","8sx","4ft","8ft","12.7","1219.2","2438.4","","","",""
"Wl","219","1/2x4x9","Denseglass","8sx","4ft","9ft","12.7","1219.2","2743.2","","","",""
"Wl","220","5/8x4x8","Denseglass","10sx","4ft","8ft","15.875","1219.2","2438.4","","","",""
